2014-11-07,"38,097"
2014-11-10,"38,958"
2014-11-12,"39,429"
2014-11-13,"39,962"
2014-11-14,"40,36"
2014-11-17,"39,793"
2014-11-18,"40,042"
2014-11-19,"39,758"
2014-11-20,"39,403"
2014-11-21,"40,538"
2014-11-24,"39,383"
2014-11-25,"38,807"
2014-11-26,"39,962"
2014-11-27,"40,12"
2014-11-28,"40,112"
2014-12-01,"40,494"
2014-12-02,"41,862"
2014-12-03,"42,137"
2014-12-04,"42,652"
2014-12-05,"43,558"
2014-12-08,"43,958"
2014-12-09,"42,688"
2014-12-10,"42,004"
2014-12-11,"42,98"
2014-12-12,"43,06"
2014-12-15,"42,625"
2014-12-16,"41,195"
2014-12-17,"41,889"
2014-12-18,"43,425"
2014-12-19,"43,336"
2014-12-22,"43,514"
2014-12-23,"43,07"
2014-12-29,"43,07"
2014-12-30,"43,442"
2015-01-02,"43,114"
2015-01-05,"42,404"
2015-01-07,"44,349"
2015-01-08,"45,556"
2015-01-09,"45,529"
2015-01-12,"45,69"
2015-01-13,"46,134"
2015-01-14,"45,467"
2015-01-15,"43,842"
2015-01-16,"44,811"
2015-01-19,"44,74"
2015-01-20,"45,29"
2015-01-21,"47,066"
2015-01-22,"46,809"
2015-01-23,"47,341"
2015-01-26,"46,533"
2015-01-27,"47,91"
2015-01-28,"46,879"
2015-01-29,"49,019"
2015-01-30,"48,709"
2015-02-02,"46,879"
2015-02-03,"48,398"
2015-02-04,"48,78"
2015-02-05,"48,308"
2015-02-06,"49,189"
2015-02-09,"48,841"
2015-02-10,"48,877"
2015-02-11,"48,238"
2015-02-12,"49,676"
2015-02-13,"50,076"
2015-02-16,"50,13"
2015-02-17,"50,174"
2015-02-18,"49,206"
2015-02-19,"48,266"
2015-02-20,"48,841"
2015-02-23,"50,174"
2015-02-24,"50,084"
2015-02-25,"49,463"
2015-02-26,"49,154"
2015-02-27,"48,495"
2015-03-02,"49,286"
2015-03-03,"48,593"
2015-03-04,"48,424"
2015-03-05,"49,196"
2015-03-06,"49,641"
2015-03-09,"50,174"
2015-03-10,"49,073"
